Wall time,Step,Value
1673432433.106316,1220,-189.76718139648438
1673432475.2113652,4880,-123.88887023925781
1673432489.4650557,6100,-118.16112518310547
1673432561.7752745,12200,-109.40093994140625
1673432576.697984,13420,-108.30097961425781
1673432591.5589855,14640,-106.88127899169922
1673432648.1019773,19520,-102.55148315429688
1673432662.3894763,20740,-102.07585906982422
1673432692.0114107,23180,-100.43153381347656
1673432706.6769495,24400,-100.08072662353516
1673432721.2075443,25620,-99.6002197265625
1673432751.2648153,28060,-98.66990661621094
1673432822.938356,34160,-92.55817413330078
1673432850.5700374,36600,-91.77159118652344
1673432865.0172741,37820,-91.19597625732422
1673432909.0823328,41480,-90.25696563720703
1673432923.9247296,42700,-90.16956329345703
1673432952.6230712,45140,-89.54779815673828
1673432967.2795563,46360,-89.52081298828125
1673432980.862384,47580,-90.00257110595703
1673433008.6596322,50020,-89.8617172241211
1673433109.2220535,58560,-88.8821792602539
1673433123.1790776,59780,-88.93775939941406
1673433150.8196914,62220,-88.9423599243164
1673433165.0398712,63440,-88.71556854248047
1673433179.0535119,64660,-88.57061767578125
1673433192.8820353,65880,-88.75910949707031
1673433206.2171276,67100,-88.48014068603516
1673433220.472882,68320,-88.07913970947266
1673433249.419225,70760,-87.53632354736328
1673433291.9633803,74420,-87.24687957763672
1673433306.4286573,75640,-87.38243103027344
1673433363.3176897,80520,-86.74085998535156
1673433377.1582835,81740,-86.870849609375
1673433391.3021896,82960,-87.00391387939453
1673433406.892777,84180,-87.45462799072266
1673433437.1466017,86620,-88.09906768798828
1673433481.9899683,90280,-88.5730209350586
1673433540.625068,95160,-89.398193359375
1673433555.742083,96380,-89.55741882324219
1673433570.2396712,97600,-89.75369262695312
1673433584.9691014,98820,-89.96089935302734
1673433613.635066,101260,-90.08609008789062
1673433628.3753765,102480,-90.25093078613281
1673433671.291559,106140,-90.48628997802734
1673433729.277019,111020,-91.10848236083984
1673433799.310663,117120,-91.23516082763672
1673433856.2965267,122000,-91.27164459228516
1673433870.9010909,123220,-91.47250366210938
1673433931.3929956,128100,-91.61701202392578
1673433961.9366531,130540,-91.61720275878906
1673433976.4858682,131760,-91.78297424316406
1673433990.26405,132980,-91.67488098144531
1673434019.290513,135420,-91.83319854736328
1673434032.3610814,136640,-91.74980163574219
1673434047.65413,137860,-91.6723861694336
1673434077.0063982,140300,-91.69287872314453
1673434092.9196746,141520,-92.06442260742188
1673434107.2489226,142740,-92.36540985107422
1673434165.0178444,147620,-92.15162658691406
