Wall time,Step,Value
1673431197.3291523,1220,-224.923828125
1673431239.2456737,4880,-136.1083221435547
1673431252.5477738,6100,-129.98553466796875
1673431333.7750466,13420,-113.09750366210938
1673431347.121366,14640,-111.6999282836914
1673431388.1541831,18300,-109.1859130859375
1673431401.302555,19520,-108.45115661621094
1673431414.3830535,20740,-107.75296020507812
1673431441.1093411,23180,-106.30586242675781
1673431454.3972526,24400,-105.69051361083984
1673431467.7818148,25620,-105.07342529296875
1673431493.9065416,28060,-103.97500610351562
1673431506.8181124,29280,-103.6368637084961
1673431546.2706642,32940,-97.61577606201172
1673431560.377007,34160,-97.34333801269531
1673431600.2611113,37820,-96.01973724365234
1673431654.5858023,42700,-95.85041809082031
1673431681.7187898,45140,-95.75513458251953
1673431695.2227685,46360,-95.81771087646484
1673431708.4640028,47580,-95.94607543945312
1673431721.6988378,48800,-95.67575073242188
1673431734.8659978,50020,-95.46200561523438
1673431830.126622,58560,-96.61730194091797
1673431856.5458176,61000,-96.49296569824219
1673431870.0994785,62220,-96.70292663574219
1673431883.4334018,63440,-96.7121353149414
1673431896.872208,64660,-96.59860229492188
1673431922.7893376,67100,-96.59557342529297
1673431936.7023828,68320,-96.65667724609375
1673431962.3095038,70760,-96.67198181152344
1673432002.405801,74420,-96.8494644165039
1673432015.3071585,75640,-96.79428100585938
1673432028.4571714,76860,-96.56751251220703
1673432041.6899724,78080,-96.49130249023438
1673432068.9824781,80520,-96.58106994628906
1673432082.0358748,81740,-96.4888687133789
1673432095.6040115,82960,-96.49081420898438
1673432109.2586236,84180,-96.37640380859375
1673432176.4879513,90280,-95.96444702148438
1673432203.7876654,92720,-95.86856079101562
1673432230.1391768,95160,-95.54825592041016
1673432256.4857442,97600,-95.34636688232422
1673432269.732036,98820,-95.36935424804688
1673432296.7211943,101260,-95.18424987792969
1673432310.0941923,102480,-95.06756591796875
1673432336.6019945,104920,-94.64946746826172
1673432349.9819827,106140,-94.63629150390625
1673432390.156859,109800,-94.24249267578125
1673432403.511589,111020,-94.27532196044922
1673432472.3580315,117120,-93.68362426757812
1673432529.3110282,122000,-93.6152572631836
1673432543.6619544,123220,-93.52938079833984
1673432587.078689,126880,-93.94918823242188
1673432629.1538358,130540,-93.50406646728516
1673432670.890065,134200,-94.04724884033203
1673432685.4432302,135420,-94.09587097167969
1673432699.874282,136640,-94.17680358886719
1673432743.4836564,140300,-94.81852722167969
1673432757.5979056,141520,-94.75031280517578
1673432771.4715104,142740,-94.92786407470703
1673432898.2042785,153720,-94.84709167480469
1673432912.6671479,154940,-94.8482666015625
1673432941.9033144,157380,-94.76595306396484
1673432956.341965,158600,-94.71942901611328
1673432970.625172,159820,-95.11839294433594
1673432985.1823206,161040,-95.2754898071289
1673432998.978406,162260,-95.10356140136719
1673433027.107198,164700,-94.8848648071289
1673433055.6733818,167140,-94.685302734375
1673433069.9295995,168360,-94.41319274902344
1673433152.5287778,175680,-94.08511352539062
1673433166.2660918,176900,-94.19246673583984
1673433194.1513286,179340,-94.45902252197266
1673433208.956639,180560,-94.67158508300781
1673433251.5230658,184220,-94.76810455322266
1673433382.7302377,195200,-94.4691162109375
1673433395.7501323,196420,-94.31717681884766
1673433421.9930837,198860,-94.26239776611328
1673433436.5206885,200080,-94.15425109863281
1673433450.4746304,201300,-94.28619384765625
1673433478.296513,203740,-94.61713409423828
1673433533.5474062,208620,-94.67005157470703
1673433548.2531672,209840,-94.69754791259766
1673433562.8258104,211060,-94.77003479003906
1673433605.60081,214720,-94.86656951904297
1673433620.037927,215940,-95.16384887695312
1673433648.1582148,218380,-95.38167572021484
1673433675.9163451,220820,-95.30528259277344
1673433690.2808645,222040,-95.21199035644531
1673433719.3874373,224480,-95.44760131835938
1673433733.6279933,225700,-95.46363830566406
1673433748.1156878,226920,-95.60113525390625
1673433762.471223,228140,-95.80797576904297
1673433804.1139855,231800,-95.69489288330078
1673433819.3108075,233020,-95.50631713867188
1673433834.0985298,234240,-95.43498992919922
1673433848.5741856,235460,-95.31616973876953
1673433891.9395628,239120,-94.97714233398438
1673433935.3432496,242780,-94.70539093017578
1673433950.531874,244000,-94.92084503173828
1673433965.2776544,245220,-94.92733001708984
1673433994.159328,247660,-94.71040344238281
1673434008.787498,248880,-94.65714263916016
1673434024.4801395,250100,-94.82376861572266
1673434039.4396935,251320,-94.99678039550781
1673434067.4091842,253760,-94.82291412353516
1673434095.5784736,256200,-94.83143615722656
1673434123.1676066,258640,-94.78589630126953
1673434151.3241115,261080,-94.88467407226562
1673434179.8992836,263520,-94.77718353271484
1673434194.2213683,264740,-94.75634002685547
1673434224.2855809,267180,-95.26797485351562
