Wall time,Step,Value
1674741547.4410174,1220,-127.11612701416016
1674741575.9769757,3660,-111.63880920410156
1674741591.7124486,4880,-108.12010192871094
1674741608.1958272,6100,-107.89523315429688
1674741700.0760243,13420,-101.99620056152344
1674741714.9499564,14640,-101.09050750732422
1674741759.4887624,18300,-99.28881072998047
1674741774.7125008,19520,-98.76122283935547
1674741821.1543713,23180,-98.1852035522461
1674741836.7737653,24400,-98.04267120361328
1674741852.6234584,25620,-97.77630615234375
1674741883.287244,28060,-97.241943359375
1674741899.36683,29280,-97.05000305175781
1674741943.3389473,32940,-94.61190795898438
1674741958.742973,34160,-94.39897155761719
1674741988.8123925,36600,-93.45653533935547
1674742048.6256306,41480,-91.94091033935547
1674742064.0853193,42700,-91.822509765625
1674742094.3867111,45140,-91.57701873779297
1674742109.582419,46360,-91.55213928222656
1674742124.2100153,47580,-91.59901428222656
1674742139.6625805,48800,-91.62592315673828
1674742154.5122795,50020,-91.77389526367188
1674742260.7591188,58560,-91.3436279296875
1674742276.6220856,59780,-91.188232421875
1674742292.7238276,61000,-91.05958557128906
1674742322.6672955,63440,-91.1938247680664
1674742337.2224684,64660,-91.28516387939453
1674742367.2369661,67100,-91.5345687866211
1674742382.923629,68320,-91.61497497558594
1674742413.1863182,70760,-91.6283950805664
1674742459.159895,74420,-91.68948364257812
1674742474.38081,75640,-91.70658111572266
1674742489.3144,76860,-91.71572875976562
1674742504.6859977,78080,-91.67350769042969
1674742534.6228588,80520,-91.65901184082031
1674742549.6926134,81740,-91.65673828125
1674742564.8598313,82960,-91.6086654663086
1674742580.098724,84180,-91.62702178955078
1674742611.7028017,86620,-91.75961303710938
1674742626.7418845,87840,-91.82958984375
1674742717.072706,95160,-92.03304290771484
1674742747.5920153,97600,-92.00907135009766
1674742762.6010287,98820,-92.22818756103516
1674742792.7101474,101260,-92.66453552246094
1674742807.8261874,102480,-92.61495208740234
1674742838.9842448,104920,-92.71861267089844
1674742854.1207762,106140,-92.83576202392578
1674742900.1429787,109800,-92.8746337890625
1674742914.901312,111020,-92.88417053222656
1674742990.9148474,117120,-93.2586669921875
1674743052.3151882,122000,-93.31668853759766
1674743067.059257,123220,-93.4494400024414
1674743112.8901308,126880,-93.48228454589844
1674743156.8563068,130540,-93.24797821044922
1674743171.605321,131760,-93.09757232666016
1674743202.1914654,134200,-93.20409393310547
1674743217.4942455,135420,-93.38667297363281
1674743278.4943907,140300,-93.35255432128906
1674743308.0574439,142740,-93.1680679321289
1674743385.0142827,148840,-93.20761108398438
1674743444.6227024,153720,-92.71263885498047
1674743459.3478029,154940,-92.58200073242188
1674743489.3286915,157380,-92.48985290527344
1674743504.8669283,158600,-92.4119644165039
1674743520.323898,159820,-92.41915130615234
1674743535.6151462,161040,-92.29496002197266
1674743550.0744648,162260,-92.34786224365234
1674743579.7303698,164700,-92.42675018310547
1674743610.217294,167140,-92.28763580322266
1674743625.7033978,168360,-92.25264739990234
1674743715.3540792,175680,-92.61810302734375
1674743730.4119227,176900,-92.52690887451172
1674743760.7716408,179340,-92.3585433959961
1674743775.7228498,180560,-92.33006286621094
1674743821.4634247,184220,-92.49824523925781
1674743927.9694989,192760,-92.83320617675781
1674743958.1063426,195200,-92.86009979248047
1674743972.695756,196420,-92.8955307006836
1674744002.4794583,198860,-93.04328155517578
1674744031.654543,201300,-92.94566345214844
1674744062.3188865,203740,-92.79315948486328
1674744122.4380517,208620,-92.68116760253906
1674744137.173475,209840,-92.68692016601562
1674744152.3206782,211060,-92.8165512084961
1674744197.5737333,214720,-92.57598114013672
1674744214.1674514,215940,-92.63922119140625
1674744229.1257658,217160,-92.57050323486328
1674744243.9125414,218380,-92.6552505493164
1674744274.1673806,220820,-92.43778228759766
1674744289.3023233,222040,-92.25345611572266
1674744334.2785974,225700,-92.0691146850586
1674744349.4561727,226920,-92.03241729736328
1674744364.5084975,228140,-91.91947937011719
1674744411.302098,231800,-91.70087432861328
1674744426.4236724,233020,-91.72232055664062
1674744441.7295053,234240,-91.72802734375
1674744456.5177941,235460,-91.93868255615234
1674744500.8389618,239120,-91.66616821289062
1674744545.1777112,242780,-91.44071197509766
1674744560.42583,244000,-91.50350952148438
1674744575.140855,245220,-91.54369354248047
1674744604.674593,247660,-91.49259185791016
1674744619.4150658,248880,-91.31523895263672
1674744634.9721797,250100,-91.31459045410156
1674744649.4106789,251320,-91.34716033935547
1674744679.6411264,253760,-91.5936050415039
1674744709.108247,256200,-91.5168685913086
1674744739.7899225,258640,-91.52204895019531
1674744769.4652174,261080,-91.3778305053711
1674744800.299793,263520,-91.23475646972656
1674744815.2843764,264740,-91.16439819335938
1674744845.1768248,267180,-91.0506362915039
1674744859.8666742,268400,-91.23941802978516
1674744874.6292353,269620,-91.38446807861328
1674744889.7622683,270840,-91.40461730957031
1674744904.684765,272060,-91.28841400146484
1674744935.89595,274500,-91.29006958007812
1674744951.458582,275720,-91.19037628173828
1674745016.0939627,280600,-91.19415283203125
1674745065.3739648,284260,-90.8622817993164
1674745113.5884004,287920,-90.86811065673828
1674745145.866184,290360,-90.77320861816406
1674745161.5469987,291580,-90.85306549072266
1674745178.6761398,292800,-90.99735260009766
1674745211.7765012,295240,-91.03012084960938
1674745228.4469159,296460,-91.14954376220703
1674745261.1910408,298900,-91.29731750488281
1674745277.9331744,300120,-91.35527038574219
1674745293.8821452,301340,-91.33161163330078
1674745312.1149607,302552,-90.78736877441406
1674745392.381611,308572,-69.81805419921875
1674745408.1539364,309776,-65.0927963256836
1674745423.4274065,310980,-60.39370346069336
1674745472.24444,314592,-46.033329010009766
1674745487.997981,315796,-41.189308166503906
1674745503.815794,317000,-36.20237731933594
1674745520.7842095,318204,-31.08106231689453
1674745552.6011796,320612,-21.046913146972656
1674745681.3923583,330244,20.14491081237793
1674745697.0133858,331448,25.342853546142578
1674745744.9904296,335060,35.429134368896484
1674745761.0652347,336264,37.45057678222656
1674745777.1156616,337468,39.53499984741211
1674745809.1926262,339876,43.59722900390625
1674745841.5485609,342284,47.190284729003906
1674745872.6799042,344692,50.62708282470703
1674745888.8983855,345896,52.04878616333008
1674745921.765377,348304,54.9074592590332
1674745954.478873,350712,57.605613708496094
1674745970.5047202,351916,58.63322067260742
1674746003.5827596,354324,60.59271240234375
1674746083.4657078,360344,65.98226928710938
1674746099.2235398,361548,66.9347152709961
1674746115.1653903,362752,67.40599060058594
1674746130.5880032,363956,66.88008880615234
1674746146.197434,365160,65.5036849975586
1674746226.94284,371180,62.04493713378906
1674746258.265099,373588,61.22904586791992
1674746274.037298,374792,60.93293380737305
1674746290.6677477,375996,60.776187896728516
1674746306.7552,377200,60.58134078979492
1674746354.1189995,380812,60.25676727294922
1674746369.8384023,382016,60.20763397216797
1674746419.0089176,385628,60.925636291503906
1674746452.5456526,388036,62.25128936767578
1674746468.2738795,389240,62.183311462402344
1674746515.684749,392852,63.10448455810547
1674746548.0555205,395260,64.21583557128906
1674746628.5883727,401280,64.13935089111328
1674746644.400152,402484,64.6566162109375
1674746660.4428957,403688,64.36427307128906
1674746676.666438,404892,64.60099029541016
1674746693.0171914,406096,64.556640625
1674746756.6077044,410912,64.29573822021484
1674746772.3117046,412116,64.82792663574219
1674746805.0556765,414524,64.01158142089844
1674746852.5297182,418136,63.44635772705078
1674746868.2280023,419340,63.47113037109375
1674746883.997966,420544,63.558441162109375
1674746899.957501,421748,64.03276062011719
1674746931.3524766,424156,64.60488891601562
1674746963.7327507,426564,65.26773071289062
1674746996.0613213,428972,65.4886245727539
1674747011.8389995,430176,65.541015625
1674747028.6027668,431380,66.44973754882812
1674747044.5376067,432584,66.18843078613281
1674747093.0739784,436196,66.62905883789062
1674747125.2344532,438604,67.66209411621094
1674747157.3856018,441012,67.43255615234375
1674747173.240699,442216,67.23005676269531
1674747189.5720468,443420,67.36341857910156
1674747205.4904885,444624,66.70283508300781
1674747221.0450795,445828,66.97112274169922
1674747237.1396132,447032,66.7367935180664
1674747252.582686,448236,66.38428497314453
1674747349.999057,455460,67.11579895019531
1674747366.4810593,456664,67.26732635498047
1674747399.1441994,459072,67.0656509399414
1674747415.4059618,460276,67.49137115478516
1674747479.1149018,465092,66.74879455566406
1674747527.0556211,468704,66.7724609375
1674747543.2596066,469908,65.97472381591797
1674747590.899606,473520,66.17987060546875
