Wall time,Step,Value
1675208685.08564,1673,-266.4703369140625
1675208719.1784072,4080,-198.06163024902344
1675208742.8883255,6325,-215.95372009277344
1675208768.049876,8587,-197.7679901123047
1675208870.880896,17262,-124.74800872802734
1675208886.16187,18693,-114.8158950805664
1675208899.4694986,19892,-109.04583740234375
1675208957.0464242,25043,-92.82257843017578
1675208988.334511,28111,-88.60769653320312
1675209002.336658,29313,-85.0582046508789
1675209036.3938985,32445,-81.0964126586914
1675209053.292575,33879,-77.39047241210938
1675209075.6865423,35877,-75.34739685058594
1675209101.9826868,38291,-71.58641815185547
1675209114.2504873,39491,-69.8732681274414
1675209180.411636,45660,-51.629295349121094
1675209204.4845605,47912,-46.927547454833984
1675209217.506798,49136,-38.293575286865234
1675209234.6020684,50794,-34.322265625
1675209256.9785018,53034,-31.269487380981445
1675209311.3606553,57717,-31.49360466003418
1675209337.2390485,60561,-30.40635108947754
1675209393.5311356,65306,-29.871583938598633
1675209413.566593,67564,-29.886734008789062
1675209442.9003947,69823,-30.742950439453125
1675209462.093783,71728,-30.237186431884766
1675209477.4289014,72901,-30.109920501708984
1675209613.7371843,85516,-29.33636474609375
1675209630.3533876,86964,-30.200075149536133
1675209661.6726,90032,-30.484769821166992
1675209677.0665662,91460,-30.86638832092285
1675209695.806418,92910,-31.973045349121094
1675209708.678308,94129,-32.447166442871094
1675209743.0153484,97471,-31.07123374938965
1675209757.8221538,98689,-31.743328094482422
1675209789.310899,101574,-30.906970977783203
1675209835.5309286,105900,-31.023778915405273
1675209852.9645886,107552,-30.996952056884766
1675209872.6273901,109568,-30.67536735534668
1675209900.60353,111825,-29.959041595458984
1675209936.7137744,114944,-30.496849060058594
1675209950.8418734,116389,-30.60906219482422
1675209977.5229914,118855,-30.233041763305664
1675209991.7104058,120057,-30.123796463012695
1675210041.0908687,124538,-29.231706619262695
1675210056.1244693,125973,-29.987369537353516
1675210090.836086,129304,-28.194366455078125
1675210120.4694023,132202,-29.386646270751953
1675210155.7340746,135074,-28.25368309020996
1675210173.296556,137100,-28.4780216217041
1675210196.1411395,138772,-29.92875099182129
1675210218.979798,140800,-29.344751358032227
1675210262.581084,144741,-28.331254959106445
1675210285.6924896,147222,-28.259756088256836
1675210332.1420476,151279,-28.614858627319336
1675210348.6175487,152957,-29.18853759765625
1675210411.5460367,158316,-31.044782638549805
1675210424.054855,159504,-30.620777130126953
1675210517.2220397,167884,-33.779930114746094
1675210602.638784,175863,-33.56795120239258
1675210624.4967268,177537,-34.569515228271484
1675210706.4415894,184896,-34.30253219604492
1675210719.7083492,186114,-34.366294860839844
1675210756.9868925,189597,-36.68505096435547
1675210772.2936246,191044,-38.26310348510742
1675210787.9230914,192483,-38.58870315551758
1675210801.0656514,193687,-39.50532150268555
1675210829.8879683,196172,-39.24872970581055
1675210846.3321664,198166,-38.6669921875
1675210867.0514734,199610,-39.27204895019531
1675210901.48622,202713,-38.27418518066406
1675210921.7181535,204745,-39.341590881347656
1675210945.4051104,207234,-40.06241226196289
1675211055.4509566,216878,-36.42287063598633
1675211136.1279263,223827,-36.68919372558594
1675211150.1495063,225256,-37.76034164428711
1675211187.7521913,228579,-36.644073486328125
1675211203.277847,229786,-36.125797271728516
1675211215.9010017,231004,-38.079952239990234
1675211228.8172655,232200,-36.11658477783203
1675211241.7493942,233401,-35.192752838134766
1675211275.7860844,236256,-34.0517692565918
1675211307.133455,239115,-34.87230682373047
1675211319.6932018,240300,-33.77560043334961
1675211337.235857,241961,-33.54708480834961
1675211353.9793684,243405,-34.449378967285156
1675211431.8522456,250340,-34.553733825683594
1675211445.3858685,251555,-35.21031951904297
1675211459.1528316,252768,-33.7628173828125
1675211477.5972743,254423,-33.87330627441406
1675211495.92858,256090,-32.969852447509766
1675211542.276133,260187,-32.27886199951172
1675211620.3559468,267329,-32.99909210205078
1675211666.7797918,271612,-31.462270736694336
1675211686.4233906,273515,-30.499977111816406
1675211723.8881636,277226,-31.376102447509766
1675211747.55068,278907,-31.607120513916016
1675211789.1127343,283196,-32.08916091918945
1675211816.7711048,285455,-33.23655700683594
1675211842.4748251,287711,-32.60025405883789
1675211879.313413,291140,-33.016822814941406
1675211917.3362892,294826,-32.60196304321289
1675211956.037777,298085,-32.494110107421875
1675211987.1664891,301380,-32.512271881103516
1675212005.178679,302602,-34.11043930053711
1675212034.6041493,305251,-36.2288818359375
1675212047.6796167,306478,-36.1025276184082
1675212062.4377828,307925,-40.9152717590332
1675212086.289048,309831,-40.352012634277344
1675212105.5002277,312067,-39.34851837158203
1675212151.89805,315992,-38.731964111328125
1675212179.1286488,318246,-37.56520462036133
1675212203.415679,320500,-38.28015899658203
1675212221.6632798,322163,-38.05377197265625
1675212246.9942353,324646,-37.47575759887695
1675212274.09446,326898,-37.69569778442383
1675212296.332347,328930,-37.794586181640625
1675212375.064067,336268,-34.96794509887695
1675212388.0462687,337483,-35.82209777832031
1675212407.5349374,339138,-35.32691955566406
1675212427.198236,341395,-34.660518646240234
1675212483.7454188,346093,-36.53325271606445
1675212552.417431,352283,-35.24074172973633
1675212576.033067,354283,-33.54043197631836
1675212590.0423286,355730,-34.363365173339844
1675212639.1940637,360005,-29.88619613647461
1675212655.4732006,361682,-31.3678035736084
1675212672.8635628,363116,-31.031633377075195
1675212690.291254,364793,-32.03661346435547
1675212726.101253,367910,-33.23042678833008
1675212764.4436002,371363,-33.405357360839844
1675212812.57118,375848,-33.235862731933594
1675212852.526756,379547,-35.728885650634766
1675212892.6928656,383237,-34.39494323730469
1675212921.5538654,386308,-34.461700439453125
1675212973.7476156,391031,-33.81282043457031
1675212998.0183191,393288,-33.56667709350586
1675213017.561457,394499,-33.52217483520508
1675213031.528705,395721,-34.84661865234375
1675213054.4209929,397983,-34.852149963378906
1675213091.8552783,401320,-34.78794860839844
1675213107.323415,402751,-34.524539947509766
1675213124.4591227,404181,-34.907405853271484
1675213178.6377707,409298,-32.62583923339844
1675213263.1361806,416613,-30.651748657226562
1675213304.463424,420867,-30.65151023864746
1675213327.7997475,422541,-31.071380615234375
1675213340.4312065,423745,-31.115047454833984
1675213364.9463289,425985,-30.13656997680664
1675213388.8105552,428015,-30.510841369628906
1675213403.138268,429222,-30.983842849731445
1675213440.0826347,432443,-32.31578063964844
1675213457.2510614,434465,-32.55229187011719
1675213498.3492107,437924,-35.278709411621094
1675213521.4082258,439942,-34.24190139770508
1675213536.965824,441388,-33.65434265136719
1675213552.7200503,442822,-33.39066696166992
1675213582.1179318,445456,-34.87760543823242
1675213645.3201876,451173,-35.28631591796875
1675213670.3847644,453414,-34.567047119140625
1675213685.8583176,454860,-35.85109329223633
1675213751.4002202,460925,-35.35529327392578
1675213771.611193,462957,-36.00736999511719
1675213794.4176748,464618,-36.11384963989258
1675213808.8073742,465833,-37.290531158447266
1675213840.96339,469310,-38.46354293823242
1675213867.4701052,471326,-37.81539535522461
1675213964.2130895,480138,-36.83076477050781
1675214004.0187986,483695,-35.29960632324219
1675214019.4956365,485144,-34.7712287902832
1675214082.8336694,490851,-33.297027587890625
1675214106.3868968,493108,-33.05022430419922
1675214135.1259184,495589,-31.999666213989258
1675214167.470069,498470,-32.667972564697266
1675214183.1454742,499921,-32.9108772277832
1675214201.166128,501598,-33.359840393066406
1675214217.9886322,503273,-33.47760772705078
1675214236.8744643,504721,-33.85861587524414
1675249202.8549647,505533,-33.596702575683594
1675249220.592562,507209,-33.32994842529297
1675249233.8016305,508432,-34.67095947265625
1675249264.1868546,511313,-32.889137268066406
1675249280.0468535,512759,-32.95582580566406
1675249316.363065,516427,-32.00589370727539
1675249337.4030488,517874,-33.53919982910156
1675249421.3277824,525946,-41.69022750854492
1675249461.8413174,529592,-49.99072265625
1675249484.7592673,531267,-50.15934753417969
1675249521.189741,534917,-49.61798095703125
1675249542.1334445,536365,-49.609092712402344
1675249561.0111609,538620,-50.37935256958008
1675249645.6418777,545776,-50.76662826538086
1675249686.3974042,549425,-48.91783905029297
1675249701.9851809,550856,-49.21000671386719
1675249718.2740324,552499,-48.84513473510742
1675249739.6876776,554170,-49.9548454284668
1675249761.5985754,556185,-49.712730407714844
1675249805.2814429,560271,-48.542236328125
1675249822.182499,561949,-48.00430679321289
1675249840.9019976,563620,-49.31666946411133
1675249856.0985677,564819,-49.75551223754883
1675249877.9603827,566851,-49.49020767211914
1675249914.0979674,570101,-49.489349365234375
1675249933.888737,571998,-49.424293518066406
1675250000.801694,577721,-33.62342071533203
1675250050.9969764,582467,-33.99932861328125
1675250122.3475401,588772,-32.56333541870117
1675250158.319616,592244,-31.213674545288086
1675250171.9754367,593453,-31.602577209472656
1675250200.8036964,595710,-46.3597526550293
1675250217.7854524,597126,-51.218849182128906
1675250239.148856,599120,-49.57963943481445
1675250323.2242894,606398,-61.149784088134766
1675250343.283346,608056,-65.1814193725586
1675250375.3898191,611295,-69.58918762207031
1675250415.0513015,614511,-70.30529022216797
1675250430.6352866,615940,-69.55109405517578
1675250453.7193577,617954,-71.16921997070312
1675250468.9229305,619397,-70.22664642333984
1675250494.8463273,622232,-68.99972534179688
1675250556.120783,627291,-65.73785400390625
1675250572.7251208,628967,-67.43937683105469
1675250588.3566904,630191,-68.0
1675250636.426612,634470,-69.34456634521484
