Wall time,Step,Value
1674734075.5325367,1220,-234.07986450195312
1674734105.9608412,3660,-232.0471649169922
1674734119.522217,4880,-207.65342712402344
1674734133.0829349,6100,-189.46536254882812
1674734211.0781507,13420,-142.261474609375
1674734224.925989,14640,-139.32127380371094
1674734263.8535225,18300,-132.41331481933594
1674734277.5836494,19520,-130.98008728027344
1674734317.919457,23180,-126.8700942993164
1674734331.0665987,24400,-125.52253723144531
1674734344.2648253,25620,-124.16328430175781
1674734370.0429122,28060,-121.79170227050781
1674734382.93636,29280,-120.68956756591797
1674734423.0017493,32940,-107.1470718383789
1674734436.8630764,34160,-103.61829376220703
1674734463.5566235,36600,-101.52397155761719
1674734516.2712207,41480,-101.01537322998047
1674734530.2619114,42700,-100.87975311279297
1674734558.2157187,45140,-100.660888671875
1674734571.731661,46360,-100.22354125976562
1674734585.0518239,47580,-100.06165313720703
1674734598.5624197,48800,-99.90988159179688
1674734611.9912004,50020,-99.37320709228516
1674734706.2447376,58560,-98.98551940917969
1674734719.4166398,59780,-98.93651580810547
1674734732.6844928,61000,-98.89158630371094
1674734759.947891,63440,-99.03687286376953
1674734773.3791041,64660,-98.9781265258789
1674734800.6331372,67100,-99.19158935546875
1674734814.0802042,68320,-99.0430679321289
1674734840.299014,70760,-98.81110382080078
1674734879.2369943,74420,-97.83716583251953
1674734891.8640158,75640,-97.74066925048828
1674734904.7553113,76860,-97.8046875
1674734918.2608275,78080,-97.37431335449219
1674734945.189332,80520,-97.38294219970703
1674734958.5644999,81740,-97.44835662841797
1674734972.412994,82960,-97.09577178955078
1674734985.486316,84180,-96.97235107421875
1674735011.1835227,86620,-96.76355743408203
1674735023.9054556,87840,-96.6475601196289
1674735102.486505,95160,-95.88217163085938
1674735127.9274256,97600,-95.36019897460938
1674735141.6055858,98820,-95.16490936279297
1674735167.2034721,101260,-95.01531219482422
1674735180.4096375,102480,-94.9620590209961
1674735206.497089,104920,-95.22429656982422
1674735219.0743015,106140,-95.14347839355469
1674735257.6970394,109800,-94.92086791992188
1674735271.1083577,111020,-95.04060363769531
1674735335.1231365,117120,-94.8716049194336
1674735386.0261674,122000,-95.08805847167969
1674735398.5581079,123220,-95.17168426513672
1674735438.0390942,126880,-95.22027587890625
1674735478.8077862,130540,-95.11477661132812
1674735491.9282892,131760,-95.25306701660156
1674735517.1920407,134200,-95.30850982666016
1674735529.7929335,135420,-95.14883422851562
1674735582.1031697,140300,-95.30364227294922
1674735607.8159697,142740,-95.18658447265625
1674735671.1465557,148840,-94.76691436767578
1674735722.6009176,153720,-94.50110626220703
1674735735.199952,154940,-94.42134857177734
1674735760.1978445,157380,-94.46117401123047
1674735773.2994099,158600,-94.46562194824219
1674735785.8845732,159820,-94.45205688476562
1674735799.0097234,161040,-94.49095153808594
1674735811.9938881,162260,-94.52815246582031
1674735838.2347622,164700,-94.62151336669922
1674735863.16543,167140,-94.72622680664062
1674735875.8514054,168360,-94.73582458496094
1674735954.7304626,175680,-94.6907958984375
1674735967.9248023,176900,-94.60787200927734
1674735994.2408001,179340,-94.52543640136719
1674736006.9944587,180560,-94.39070129394531
1674736044.5398467,184220,-94.4020004272461
1674736137.3808668,192760,-94.17033386230469
1674736162.8059397,195200,-94.033935546875
1674736176.0818853,196420,-93.85279846191406
1674736202.063999,198860,-93.68578338623047
1674736228.2580628,201300,-93.57975006103516
1674736253.4194233,203740,-93.55422973632812
1674736305.4255028,208620,-93.53833770751953
1674736319.4201286,209840,-93.51470947265625
1674736332.5651155,211060,-93.55221557617188
1674736371.505651,214720,-93.65811920166016
1674736384.7480793,215940,-93.66850280761719
1674736397.9420671,217160,-93.65995025634766
1674736410.5590029,218380,-93.60791778564453
1674736435.8686626,220820,-93.67365264892578
1674736448.6022418,222040,-93.70919799804688
1674736487.4628866,225700,-93.60863494873047
1674736500.2128756,226920,-93.69097900390625
1674736513.319258,228140,-93.67671203613281
1674736551.3466651,231800,-93.78390502929688
1674736564.3984056,233020,-93.79084777832031
1674736577.055061,234240,-94.00794982910156
1674736590.2988608,235460,-94.11589050292969
1674736629.8907022,239120,-94.17935180664062
1674736669.1005077,242780,-94.37519836425781
1674736681.9299607,244000,-94.53080749511719
1674736694.7263422,245220,-94.56044006347656
